split,task,crop,dr,model,seq_len,score_mean,score_ci,score_std,fit_seconds,predict_seconds,n_components,epochs,n_runs
random,classification,Onion,BOTCAST,LSTM,1,0.7384743485654928,0.030784337559415804,0.04966766476899127,13.40190999211045,0.3752545016934164,8,76.1,10
random,classification,Onion,BOTCAST,MLP,1,0.7820825318945898,0.021934276161551483,0.03538891402940719,27.19672737674555,0.13765693047898817,8,55.4,10
random,classification,Onion,BOTCAST,RNN GRU,7,0.765215574962409,0.025427702179292917,0.041025231913771824,4.404974538605893,0.0030961073178331798,8,47.7,10
random,classification,Onion,BOTCAST,Random forest,1,0.7985900964163762,0.022146385439048837,0.03573113261601143,2.553483690173986,0.0012274934852029699,8,0.0,10
random,classification,Onion,BOTCAST,k-NN,1,0.7705429897531786,0.015068323364809271,0.024311337935066117,2.5358214136892157,0.0038984960061497704,8,0.0,10
random,classification,Onion,Isomap,Decision tree,1,0.7645089092208646,0.023404126681441623,0.037760381102282435,4.2779310453799555,0.00010101661318911493,22,0.0,10
random,classification,Onion,Isomap,LSTM,1,0.7926581182881648,0.017709982872797028,0.028573409796229937,7.05654260275187,0.5116686811263207,22,26.1,10
random,classification,Onion,Isomap,MLP,1,0.7874412715983947,0.02172186544734693,0.03504620910271868,17.613812940270872,0.13853469867608506,22,20.1,10
random,classification,Onion,Isomap,RNN GRU,1,0.7997525556283422,0.019925040424274454,0.03214719908756888,2.8890668267034925,0.00076272502192291,22,16.9,10
random,classification,Onion,Isomap,Random forest,1,0.7998459932158039,0.01934393873962977,0.03120964557959025,4.322606908733723,0.0017809850513003302,22,0.0,10
random,classification,Onion,Isomap,k-NN,1,0.8051325412143349,0.018247835261207043,0.029441184588238706,4.271523790934589,0.00413366338470947,22,0.0,10
random,classification,Onion,KernelPCA,Decision tree,1,0.7790956810768366,0.016260751253417506,0.026235209401141397,3.3512156217456015,9.585050866007147e-05,22,0.0,10
random,classification,Onion,KernelPCA,LSTM,1,0.8002933612272825,0.01712248787888392,0.02762554127851964,10.260041129856836,0.3727430286118761,22,53.5,10
random,classification,Onion,KernelPCA,MLP,1,0.7901589131129708,0.020684811075745598,0.03337301835185399,21.12088647292112,0.12896631809417153,22,26.4,10
random,classification,Onion,KernelPCA,RNN GRU,1,0.7944776560866889,0.02024690887367327,0.032666503887082594,2.1124533255351707,0.00035702546592797,22,54.9,10
random,classification,Onion,KernelPCA,Random forest,1,0.7977589757438596,0.024070569504977376,0.038835624598530724,3.378927174406514,0.00138792332145379,22,0.0,10
random,classification,Onion,KernelPCA,k-NN,1,0.8044053494037637,0.02144417141451514,0.03459817561476666,3.3463565374646955,0.00404317487264048,22,0.0,10
random,classification,Onion,MDS,Decision tree,1,0.8007038527441228,0.017392323186222254,0.02806089544398938,4.6633921057567935,0.0001025506237055775,22,0.0,10
random,classification,Onion,MDS,LSTM,1,0.792993594536817,0.020084776684243508,0.0324049186826806,7.540528683742741,0.6020808284287341,22,27.6,10
random,classification,Onion,MDS,MLP,1,0.7991476706811604,0.0203137755639261,0.03277438707116215,17.87786553215701,0.12779494907590555,22,32.5,10
random,classification,Onion,MDS,RNN GRU,1,0.7988139873307152,0.021524539502258133,0.03472784204765445,3.543937643081881,0.0008166922780219099,22,23.9,10
random,classification,Onion,MDS,Random forest,1,0.7991122061956119,0.019346628447638188,0.031213985173236872,4.701888224942377,0.0016061826550866902,22,0.0,10
random,classification,Onion,MDS,k-NN,1,0.8073016838741207,0.019593213240158926,0.03161182679605606,4.657701441459357,0.0040913771023042,22,0.0,10
random,classification,Onion,No Reduction,Decision tree,1,0.7811988371752399,0.0234260268737095,0.03779571502512024,2.9314042638851485,9.891456575131504e-05,135,0.0,10
random,classification,Onion,No Reduction,LSTM,1,0.7931080055405771,0.015082890745679166,0.024334841048888597,8.707626494026044,0.3311094535922166,135,57.2,10
random,classification,Onion,No Reduction,MLP,1,0.7888181799724656,0.025291986044547788,0.04080626655610401,22.155477487435565,0.1375784606148954,135,23.8,10
random,classification,Onion,No Reduction,RNN GRU,1,0.7909234548283981,0.02820190650823989,0.045501152512838886,2.8689996476809028,0.0009386780846397701,135,23.2,10
random,classification,Onion,No Reduction,Random forest,1,0.7978073806749666,0.025396502172988358,0.040974893606152474,2.9521177139928723,0.00136678601847956,135,0.0,10
random,classification,Onion,No Reduction,k-NN,1,0.8065303232228598,0.018084550996097137,0.02917774061690501,2.92750758115241,0.00460640070959921,135,0.0,10
